country_ch,country_en,cases,deaths
香港,Hong Kong,"11,979",212
索馬利亞,Somalia,"11,907",514
吉布地,Djibouti,"11,635",155
南蘇丹,South Sudan,"10,917",117
東帝汶,East Timor,"10,337",26
赤道幾內亞,Equatorial Guinea,"8,863",123
貝南,Benin,"8,324",107
甘比亞,Gambia,"7,333",208
尼加拉瓜,Nicaragua,"7,313",194
冰島,Iceland,"7,233",30
中非,Central Africa,"7,147",98
葉門,Yemen,"7,012","1,373"
厄利垂亞,Eritrea,"6,495",33
獅子山,Sierra Leone,"6,228",118
蒲隆地,Burundi,"6,128",8
尼日,Niger,"5,598",195
聖露西亞,Saint Lucia,"5,516",88
賴比瑞亞,Liberia,"5,396",148
聖馬利諾,San Marino,"5,099",90
查德,Chad,"4,969",174
寮國,Laos,"4,762",5
索馬利蘭,Somaliland,"4,608",311
巴貝多,Barbados,"4,339",48
幾內亞比索,Guinea-Bissau,"4,208",74
葛摩,Comoros,"4,021",147
模里西斯,Mauritius,"3,735",19
列支敦斯登,Liechtenstein,"3,075",59
摩納哥,Monaco,"2,779",33
紐西蘭,New Zealand,"2,506",26
不丹,Bhutan,"2,486",2
聖多美普林西比,Sao Tome and Principe,"2,424",37
聖文森及格瑞那丁,Saint Vincent and the Grenadines,"2,271",12
安地卡及巴布達,Antigua and Barbuda,"1,280",43
國際運輸工具(鑽石公主號),Int'l conveyance (Japan),741,13
聖克里斯多福及尼維斯,Saint Kitts and Nevis,564,3
坦尚尼亞,Tanzania,509,21
汶萊,Brunei,321,3
多米尼克,Dominica,209,0
格瑞那達,Grenada,164,1
澳門,Macao,59,0
教廷,Holy See,27,0
索羅門群島,Solomon islands,20,0
萬那杜,Vanuatu,4,1
馬紹爾群島,Marshall Islands,4,0
帛琉,Palau,2,0
薩摩亞,Samoa,1,0
密克羅尼西亞聯邦,Micronesia,1,0
